Þjóðerni,Ár,Landsvæði,Mánuður,Value0
Alls,2015,Allt landið,Allir,1596241
Alls,2015,Allt landið,Janúar,160613
Alls,2015,Allt landið,Febrúar,194811
Alls,2015,Allt landið,Mars,217284
Alls,2015,Allt landið,Apríl,174323
Alls,2015,Allt landið,Maí,216514
Alls,2015,Allt landið,Júní,281044
Alls,2015,Allt landið,Júlí,351652
Alls,2015,Höfuðborgarsvæði,Allir,1042927
Alls,2015,Höfuðborgarsvæði,Janúar,127533
Alls,2015,Höfuðborgarsvæði,Febrúar,145159
Alls,2015,Höfuðborgarsvæði,Mars,156730
Alls,2015,Höfuðborgarsvæði,Apríl,122814
Alls,2015,Höfuðborgarsvæði,Maí,138798
Alls,2015,Höfuðborgarsvæði,Júní,158701
Alls,2015,Höfuðborgarsvæði,Júlí,193192
Alls,2015,Suðurnes,Allir,77178
Alls,2015,Suðurnes,Janúar,6336
Alls,2015,Suðurnes,Febrúar,8918
Alls,2015,Suðurnes,Mars,9886
Alls,2015,Suðurnes,Apríl,8956
Alls,2015,Suðurnes,Maí,11658
Alls,2015,Suðurnes,Júní,15569
Alls,2015,Suðurnes,Júlí,15855
Alls,2015,"Vesturland, Vestfirðir",Allir,73789
Alls,2015,"Vesturland, Vestfirðir",Janúar,5180
Alls,2015,"Vesturland, Vestfirðir",Febrúar,5794
Alls,2015,"Vesturland, Vestfirðir",Mars,6975
Alls,2015,"Vesturland, Vestfirðir",Apríl,5975
Alls,2015,"Vesturland, Vestfirðir",Maí,11165
Alls,2015,"Vesturland, Vestfirðir",Júní,16439
Alls,2015,"Vesturland, Vestfirðir",Júlí,22261
Alls,2015,Norðurland,Allir,107214
Alls,2015,Norðurland,Janúar,4787
Alls,2015,Norðurland,Febrúar,7588
Alls,2015,Norðurland,Mars,8939
Alls,2015,Norðurland,Apríl,10299
Alls,2015,Norðurland,Maí,14959
Alls,2015,Norðurland,Júní,25559
Alls,2015,Norðurland,Júlí,35083
Alls,2015,Austurland,Allir,60029
Alls,2015,Austurland,Janúar,885
Alls,2015,Austurland,Febrúar,2233
Alls,2015,Austurland,Mars,3749
Alls,2015,Austurland,Apríl,3478
Alls,2015,Austurland,Maí,8708
Alls,2015,Austurland,Júní,17380
Alls,2015,Austurland,Júlí,23596
Alls,2015,Suðurland,Allir,235104
Alls,2015,Suðurland,Janúar,15892
Alls,2015,Suðurland,Febrúar,25119
Alls,2015,Suðurland,Mars,31005
Alls,2015,Suðurland,Apríl,22801
Alls,2015,Suðurland,Maí,31226
Alls,2015,Suðurland,Júní,47396
Alls,2015,Suðurland,Júlí,61665
Alls,2014,Allt landið,Allir,2307314
Alls,2014,Allt landið,Janúar,119522
Alls,2014,Allt landið,Febrúar,160444
Alls,2014,Allt landið,Mars,190004
Alls,2014,Allt landið,Apríl,157418
Alls,2014,Allt landið,Maí,179956
Alls,2014,Allt landið,Júní,239802
Alls,2014,Allt landið,Júlí,299419
Alls,2014,Allt landið,Ágúst,287649
Alls,2014,Allt landið,September,198418
Alls,2014,Allt landið,Október,182734
Alls,2014,Allt landið,Nóvember,158604
Alls,2014,Allt landið,Desember,133344
Alls,2014,Höfuðborgarsvæði,Allir,1554147
Alls,2014,Höfuðborgarsvæði,Janúar,97716
Alls,2014,Höfuðborgarsvæði,Febrúar,122846
Alls,2014,Höfuðborgarsvæði,Mars,145359
Alls,2014,Höfuðborgarsvæði,Apríl,116439
Alls,2014,Höfuðborgarsvæði,Maí,122750
Alls,2014,Höfuðborgarsvæði,Júní,140868
Alls,2014,Höfuðborgarsvæði,Júlí,164227
Alls,2014,Höfuðborgarsvæði,Ágúst,157659
Alls,2014,Höfuðborgarsvæði,September,124809
Alls,2014,Höfuðborgarsvæði,Október,128520
Alls,2014,Höfuðborgarsvæði,Nóvember,124189
Alls,2014,Höfuðborgarsvæði,Desember,108765
Alls,2014,Suðurnes,Allir,109684
Alls,2014,Suðurnes,Janúar,4899
Alls,2014,Suðurnes,Febrúar,7392
Alls,2014,Suðurnes,Mars,6964
Alls,2014,Suðurnes,Apríl,6480
Alls,2014,Suðurnes,Maí,8831
Alls,2014,Suðurnes,Júní,12540
Alls,2014,Suðurnes,Júlí,14872
Alls,2014,Suðurnes,Ágúst,15858
Alls,2014,Suðurnes,September,9273
Alls,2014,Suðurnes,Október,8809
Alls,2014,Suðurnes,Nóvember,6998
Alls,2014,Suðurnes,Desember,6768
Alls,2014,"Vesturland, Vestfirðir",Allir,100742
Alls,2014,"Vesturland, Vestfirðir",Janúar,2935
Alls,2014,"Vesturland, Vestfirðir",Febrúar,4866
Alls,2014,"Vesturland, Vestfirðir",Mars,6673
Alls,2014,"Vesturland, Vestfirðir",Apríl,4405
Alls,2014,"Vesturland, Vestfirðir",Maí,7713
Alls,2014,"Vesturland, Vestfirðir",Júní,13575
Alls,2014,"Vesturland, Vestfirðir",Júlí,19528
Alls,2014,"Vesturland, Vestfirðir",Ágúst,17042
Alls,2014,"Vesturland, Vestfirðir",September,11210
Alls,2014,"Vesturland, Vestfirðir",Október,5676
Alls,2014,"Vesturland, Vestfirðir",Nóvember,4663
Alls,2014,"Vesturland, Vestfirðir",Desember,2456
Alls,2014,Norðurland,Allir,165851
Alls,2014,Norðurland,Janúar,4040
Alls,2014,Norðurland,Febrúar,7333
Alls,2014,Norðurland,Mars,8344
Alls,2014,Norðurland,Apríl,10505
Alls,2014,Norðurland,Maí,12661
Alls,2014,Norðurland,Júní,23383
Alls,2014,Norðurland,Júlí,31321
Alls,2014,Norðurland,Ágúst,29376
Alls,2014,Norðurland,September,18109
Alls,2014,Norðurland,Október,11536
Alls,2014,Norðurland,Nóvember,5684
Alls,2014,Norðurland,Desember,3559
Alls,2014,Austurland,Allir,78910
Alls,2014,Austurland,Janúar,1897
Alls,2014,Austurland,Febrúar,2863
Alls,2014,Austurland,Mars,3567
Alls,2014,Austurland,Apríl,2513
Alls,2014,Austurland,Maí,5489
Alls,2014,Austurland,Júní,12421
Alls,2014,Austurland,Júlí,18858
Alls,2014,Austurland,Ágúst,17565
Alls,2014,Austurland,September,7452
Alls,2014,Austurland,Október,3733
Alls,2014,Austurland,Nóvember,1942
Alls,2014,Austurland,Desember,610
Alls,2014,Suðurland,Allir,297980
Alls,2014,Suðurland,Janúar,8035
Alls,2014,Suðurland,Febrúar,15144
Alls,2014,Suðurland,Mars,19097
Alls,2014,Suðurland,Apríl,17076
Alls,2014,Suðurland,Maí,22512
Alls,2014,Suðurland,Júní,37015
Alls,2014,Suðurland,Júlí,50613
Alls,2014,Suðurland,Ágúst,50149
Alls,2014,Suðurland,September,27565
Alls,2014,Suðurland,Október,24460
Alls,2014,Suðurland,Nóvember,15128
Alls,2014,Suðurland,Desember,11186
Ísland,2015,Allt landið,Allir,186850
Ísland,2015,Allt landið,Janúar,20406
Ísland,2015,Allt landið,Febrúar,24813
Ísland,2015,Allt landið,Mars,30208
Ísland,2015,Allt landið,Apríl,29532
Ísland,2015,Allt landið,Maí,31427
Ísland,2015,Allt landið,Júní,25553
Ísland,2015,Allt landið,Júlí,24911
Ísland,2015,Höfuðborgarsvæði,Allir,91802
Ísland,2015,Höfuðborgarsvæði,Janúar,13146
Ísland,2015,Höfuðborgarsvæði,Febrúar,13521
Ísland,2015,Höfuðborgarsvæði,Mars,15142
Ísland,2015,Höfuðborgarsvæði,Apríl,12868
Ísland,2015,Höfuðborgarsvæði,Maí,13260
Ísland,2015,Höfuðborgarsvæði,Júní,11651
Ísland,2015,Höfuðborgarsvæði,Júlí,12214
Ísland,2015,Suðurnes,Allir,12986
Ísland,2015,Suðurnes,Janúar,1111
Ísland,2015,Suðurnes,Febrúar,1356
Ísland,2015,Suðurnes,Mars,1261
Ísland,2015,Suðurnes,Apríl,1836
Ísland,2015,Suðurnes,Maí,3018
Ísland,2015,Suðurnes,Júní,2784
Ísland,2015,Suðurnes,Júlí,1620
Ísland,2015,"Vesturland, Vestfirðir",Allir,15519
Ísland,2015,"Vesturland, Vestfirðir",Janúar,867
Ísland,2015,"Vesturland, Vestfirðir",Febrúar,1176
Ísland,2015,"Vesturland, Vestfirðir",Mars,1526
Ísland,2015,"Vesturland, Vestfirðir",Apríl,2515
Ísland,2015,"Vesturland, Vestfirðir",Maí,3414
Ísland,2015,"Vesturland, Vestfirðir",Júní,2789
Ísland,2015,"Vesturland, Vestfirðir",Júlí,3232
Ísland,2015,Norðurland,Allir,24438
Ísland,2015,Norðurland,Janúar,2142
Ísland,2015,Norðurland,Febrúar,4307
Ísland,2015,Norðurland,Mars,4360
Ísland,2015,Norðurland,Apríl,4965
Ísland,2015,Norðurland,Maí,3349
Ísland,2015,Norðurland,Júní,2702
Ísland,2015,Norðurland,Júlí,2613
Ísland,2015,Austurland,Allir,7415
Ísland,2015,Austurland,Janúar,406
Ísland,2015,Austurland,Febrúar,700
Ísland,2015,Austurland,Mars,1224
Ísland,2015,Austurland,Apríl,854
Ísland,2015,Austurland,Maí,2028
Ísland,2015,Austurland,Júní,1189
Ísland,2015,Austurland,Júlí,1014
