Citizenship,Year,Region,Month,Value0
Total,2014,Total,Total,3287161
Total,2014,Total,January,132344
Total,2014,Total,February,181725
Total,2014,Total,March,217946
Total,2014,Total,April,185362
Total,2014,Total,May,241096
Total,2014,Total,June,403081
Total,2014,Total,July,564048
Total,2014,Total,August,530911
Total,2014,Total,September,277294
Total,2014,Total,October,218749
Total,2014,Total,November,181601
Total,2014,Total,December,153004
Total,2014,Capital region,Total,1695312
Total,2014,Capital region,January,102269
Total,2014,Capital region,February,129179
Total,2014,Capital region,March,153718
Total,2014,Capital region,April,123513
Total,2014,Capital region,May,130794
Total,2014,Capital region,June,158903
Total,2014,Capital region,July,190983
Total,2014,Capital region,August,183605
Total,2014,Capital region,September,137119
Total,2014,Capital region,October,136746
Total,2014,Capital region,November,133474
Total,2014,Capital region,December,115009
Total,2014,"West, Westfjords and Southwest from 2007",Total,..
Total,2014,"West, Westfjords and Southwest from 2007",January,..
Total,2014,"West, Westfjords and Southwest from 2007",February,..
Total,2014,"West, Westfjords and Southwest from 2007",March,..
Total,2014,"West, Westfjords and Southwest from 2007",April,..
Total,2014,"West, Westfjords and Southwest from 2007",May,..
Total,2014,"West, Westfjords and Southwest from 2007",June,..
Total,2014,"West, Westfjords and Southwest from 2007",July,..
Total,2014,"West, Westfjords and Southwest from 2007",August,..
Total,2014,"West, Westfjords and Southwest from 2007",September,..
Total,2014,"West, Westfjords and Southwest from 2007",October,..
Total,2014,"West, Westfjords and Southwest from 2007",November,..
Total,2014,"West, Westfjords and Southwest from 2007",December,..
Total,2014,Southwest,Total,186230
Total,2014,Southwest,January,6372
Total,2014,Southwest,February,9809
Total,2014,Southwest,March,9560
Total,2014,Southwest,April,10034
Total,2014,Southwest,May,13828
Total,2014,Southwest,June,23588
Total,2014,Southwest,July,30076
Total,2014,Southwest,August,31441
Total,2014,Southwest,September,17225
Total,2014,Southwest,October,14397
Total,2014,Southwest,November,10411
Total,2014,Southwest,December,9489
Total,2014,"West, Westfjords from 2007",Total,257245
Total,2014,"West, Westfjords from 2007",January,3735
Total,2014,"West, Westfjords from 2007",February,6250
Total,2014,"West, Westfjords from 2007",March,8955
Total,2014,"West, Westfjords from 2007",April,6381
Total,2014,"West, Westfjords from 2007",May,18976
Total,2014,"West, Westfjords from 2007",June,42531
Total,2014,"West, Westfjords from 2007",July,64945
Total,2014,"West, Westfjords from 2007",August,61205
Total,2014,"West, Westfjords from 2007",September,24337
Total,2014,"West, Westfjords from 2007",October,10522
Total,2014,"West, Westfjords from 2007",November,6163
Total,2014,"West, Westfjords from 2007",December,3245
Total,2014,North,Total,394842
Total,2014,North,January,5926
Total,2014,North,February,11293
Total,2014,North,March,12707
Total,2014,North,April,15901
Total,2014,North,May,24643
Total,2014,North,June,62735
Total,2014,North,July,99745
Total,2014,North,August,87266
Total,2014,North,September,35846
Total,2014,North,October,20074
Total,2014,North,November,9506
Total,2014,North,December,9200
Total,2014,East,Total,268041
Total,2014,East,January,3694
Total,2014,East,February,5007
Total,2014,East,March,7994
Total,2014,East,April,6689
Total,2014,East,May,20113
Total,2014,East,June,49598
Total,2014,East,July,74185
Total,2014,East,August,69676
Total,2014,East,September,20481
Total,2014,East,October,6318
Total,2014,East,November,3128
Total,2014,East,December,1158
Total,2014,South,Total,485491
Total,2014,South,January,10348
Total,2014,South,February,20187
Total,2014,South,March,25012
Total,2014,South,April,22844
Total,2014,South,May,32742
Total,2014,South,June,65726
Total,2014,South,July,104114
Total,2014,South,August,97718
Total,2014,South,September,42286
Total,2014,South,October,30692
Total,2014,South,November,18919
Total,2014,South,December,14903
Total,2013,Total,Total,2867438
Total,2013,Total,January,99826
Total,2013,Total,February,158679
Total,2013,Total,March,189176
Total,2013,Total,April,152495
Total,2013,Total,May,209066
Total,2013,Total,June,372960
Total,2013,Total,July,527543
Total,2013,Total,August,457030
Total,2013,Total,September,228715
Total,2013,Total,October,186878
Total,2013,Total,November,152963
Total,2013,Total,December,132107
Total,2013,Capital region,Total,1502728
Total,2013,Capital region,January,76748
Total,2013,Capital region,February,111161
Total,2013,Capital region,March,126205
Total,2013,Capital region,April,105703
Total,2013,Capital region,May,117087
Total,2013,Capital region,June,156453
Total,2013,Capital region,July,185809
Total,2013,Capital region,August,174313
Total,2013,Capital region,September,117676
Total,2013,Capital region,October,118139
Total,2013,Capital region,November,114405
Total,2013,Capital region,December,99029
Total,2013,"West, Westfjords and Southwest from 2007",Total,..
Total,2013,"West, Westfjords and Southwest from 2007",January,..
Total,2013,"West, Westfjords and Southwest from 2007",February,..
Total,2013,"West, Westfjords and Southwest from 2007",March,..
Total,2013,"West, Westfjords and Southwest from 2007",April,..
Total,2013,"West, Westfjords and Southwest from 2007",May,..
Total,2013,"West, Westfjords and Southwest from 2007",June,..
Total,2013,"West, Westfjords and Southwest from 2007",July,..
Total,2013,"West, Westfjords and Southwest from 2007",August,..
Total,2013,"West, Westfjords and Southwest from 2007",September,..
Total,2013,"West, Westfjords and Southwest from 2007",October,..
Total,2013,"West, Westfjords and Southwest from 2007",November,..
Total,2013,"West, Westfjords and Southwest from 2007",December,..
Total,2013,Southwest,Total,144509
Total,2013,Southwest,January,5229
Total,2013,Southwest,February,7004
Total,2013,Southwest,March,9647
Total,2013,Southwest,April,6272
Total,2013,Southwest,May,9821
Total,2013,Southwest,June,16472
Total,2013,Southwest,July,26730
Total,2013,Southwest,August,23384
Total,2013,Southwest,September,13443
Total,2013,Southwest,October,11715
Total,2013,Southwest,November,6676
Total,2013,Southwest,December,8116
Total,2013,"West, Westfjords from 2007",Total,213369
Total,2013,"West, Westfjords from 2007",January,2935
Total,2013,"West, Westfjords from 2007",February,6726
Total,2013,"West, Westfjords from 2007",March,8497
Total,2013,"West, Westfjords from 2007",April,5535
Total,2013,"West, Westfjords from 2007",May,14141
Total,2013,"West, Westfjords from 2007",June,36628
Total,2013,"West, Westfjords from 2007",July,57595
Total,2013,"West, Westfjords from 2007",August,47510
Total,2013,"West, Westfjords from 2007",September,17153
Total,2013,"West, Westfjords from 2007",October,7795
Total,2013,"West, Westfjords from 2007",November,5465
Total,2013,"West, Westfjords from 2007",December,3389
