Ríkisfang,Ár,Landsvæði,Mánuður,Value0
Alls,2014,Allt landið,Allir,3287161
Alls,2014,Allt landið,Janúar,132344
Alls,2014,Allt landið,Febrúar,181725
Alls,2014,Allt landið,Mars,217946
Alls,2014,Allt landið,Apríl,185362
Alls,2014,Allt landið,Maí,241096
Alls,2014,Allt landið,Júní,403081
Alls,2014,Allt landið,Júlí,564048
Alls,2014,Allt landið,Ágúst,530911
Alls,2014,Allt landið,September,277294
Alls,2014,Allt landið,Október,218749
Alls,2014,Allt landið,Nóvember,181601
Alls,2014,Allt landið,Desember,153004
Alls,2014,Höfuðborgarsvæði,Allir,1695312
Alls,2014,Höfuðborgarsvæði,Janúar,102269
Alls,2014,Höfuðborgarsvæði,Febrúar,129179
Alls,2014,Höfuðborgarsvæði,Mars,153718
Alls,2014,Höfuðborgarsvæði,Apríl,123513
Alls,2014,Höfuðborgarsvæði,Maí,130794
Alls,2014,Höfuðborgarsvæði,Júní,158903
Alls,2014,Höfuðborgarsvæði,Júlí,190983
Alls,2014,Höfuðborgarsvæði,Ágúst,183605
Alls,2014,Höfuðborgarsvæði,September,137119
Alls,2014,Höfuðborgarsvæði,Október,136746
Alls,2014,Höfuðborgarsvæði,Nóvember,133474
Alls,2014,Höfuðborgarsvæði,Desember,115009
Alls,2014,"Vesturland, Vestfirðir",Allir,..
Alls,2014,"Vesturland, Vestfirðir",Janúar,..
Alls,2014,"Vesturland, Vestfirðir",Febrúar,..
Alls,2014,"Vesturland, Vestfirðir",Mars,..
Alls,2014,"Vesturland, Vestfirðir",Apríl,..
Alls,2014,"Vesturland, Vestfirðir",Maí,..
Alls,2014,"Vesturland, Vestfirðir",Júní,..
Alls,2014,"Vesturland, Vestfirðir",Júlí,..
Alls,2014,"Vesturland, Vestfirðir",Ágúst,..
Alls,2014,"Vesturland, Vestfirðir",September,..
Alls,2014,"Vesturland, Vestfirðir",Október,..
Alls,2014,"Vesturland, Vestfirðir",Nóvember,..
